"session","created","modified","ended","expired","position","mc_empirical","mc_group","mc_data_type","mc_data_size","pre_process","rep_process","prob_rep","tool1","tool2","other_tools","storage","storag2","other_store","vercon1","vercon2","vercon3","other_verco","dvc","feedback"
"uFBi0rU7WfyyU-ERYaXbCJtKWhTruuK85ZbpZTHE8Wj2Jlgaw4994mun3nF5Xq0v","2021-03-05 17:00:46","2021-03-05 17:04:32","2021-03-05 17:04:32","","","1","4","1","3","","","","","2, 4, 6, 7, 9","","2, 4, 11, 13","13","","2","","2","","",""
"RFWvppbJdbUodVfoCcMmk6ceotDo2oRvQfn8NymxekbLUuQV1lUx6dAuW2M5V_4w","2021-03-05 17:02:52","2021-03-05 17:21:20","2021-03-05 17:21:20","","Postdoctoral researcher","1","1","1, 2","2","There is no typical procedure because every research project is different.","I script every step of pre-processing (usually in a pipeline of script files including Python, Stata or PHP) and never alter raw data manually. In some softwares that cannot be scripted, I note my steps in a text file kept with the raw data.","No, I rarely replicate others' pre-processing, and my own pipeline works even when I've been away from a dataset for a few months.","1, 3","1, 3, 6","There was no ""other"" option to select. But had there been, I would have added PHP for pre-processing and analysis, and Windows Shell (Command Line), Tesseract and Adobe Pro for pre-processing (image-to-OCR).","11","11, 14","discipline-specific data-repositories, e.g. intR2dok","2","2","2","","","These practices vary A LOT across disciplines and I am concerned that I haven't even been asked for my discipline. (You'll be able to figure it out from my responses ;)"
"Vg8_c3YiIFs3qsPc274cmdSe-EBOFq3UkQK-ETvJeGV3ZdvNjZcSHmCks7th1nld","2021-03-05 17:04:29","2021-03-05 17:13:21","2021-03-05 17:13:21","","Postdoctoral researcher","1","1","2","2","I do not understand this question. I do all sorts of pre-processing. Listing this tasks would involve about 100 items, e.g. defining missing values, removing spaces from text data, transforming variables, calculating new variables from existing ones etc.","I write reproducible code for all steps of data processing.","Yes, mostly related to version control or randomization procedures without seeds.","1, 2, 3, 6","2, 3","I recommend OpenRefine for data managment","4, 5, 9, 11, 12, 13","9, 11, 13","","2, 3","3, 5","1, 2, 3","","these tools look really interesting. Thanks for sharing.",""
"GCUptx6PIOpLQeYRywlfSvtZOwI-w3xUO6m_UrIcezg1OMdK-E973_KGEmeI63xj","2021-03-05 17:39:24","","","","","","","","","","","","","","","","","","","","","","",""
"2kYt2im3_zFYV9dMgeeyaBuIBD6CaU3E7MxUQTB-QUuTgRboC3nhhuHdETpya3qk","2021-03-05 17:58:04","2021-03-05 18:06:31","2021-03-05 18:06:31","","Postdoctoral researcher","1","5","1, 2, 4, 5, 6","5","very different steps depending on data","documentation
putting scripts beside the data","yes, but we get better ;-)
by writing one long script with sub steps to see the data flow","1, 4, 6","1, 2, 6","own written programms also in C++","13","13, 14","ped.fz-juelich.de/da
(linux server with apache and dokuwiki)","2","1, 2","2","","","I am interested in the outcome and would be happy to be informed: m.boltes@fz-juelich.de"
"tHbEJ5s_QhNgRfD6tjc7Ctq4rmYaJEXjv6vAFnE6KYQq6aqDxleLY5svYN9Omgoa","2021-03-05 18:28:16","2021-03-05 18:29:25","","","PhD student","1","1","1","4","","","","","","","","","","","","","","",""
"oSSSEMFrytS1mJ1ZloegKCBi4MjndggCssRA9cgO8g-e_sFmm2M-e_-vK1N0TlXD","2021-03-05 22:27:55","2021-03-05 22:35:35","2021-03-05 22:35:35","","PhD student","1","1","2, 3, 4","1","harvesting
selection/filtering
reformatting/restructuring
cleaning
enriching
","keep all scripts
note down any manual steps in a txt file","my own at the beginning, thus I started to note down things ;-)","1","1, 2","Also: OpenRefine and network analysis software","1, 11, 12, 14","10, 11, 12, 14","preliminary version also GitHub
final: digital archive for long term preservation","2","1","2","","",""
"nCv1QF8nhkXXtK18CNdLKF3dJR_jQR5JpNjZdkOul2QTpGdgdXVb8HvwJeO_53uM","2021-03-06 07:35:23","","","","","","","","","","","","","","","","","","","","","","",""
"-69gRC3l1uuwyNzr4nRsTYpYyU2l4W16O0kc3TnGHGCqNjyI5dmQPxGnpnboXXip","2021-03-06 07:45:09","","","","","","","","","","","","","","","","","","","","","","",""
"zCuzseXDKVhyjJ82y7yuOC9vKCd7j3U4t1dzC9eZ3vLr_sv6DVBlnCmu3N4myf3W","2021-03-06 07:55:03","","","","","","","","","","","","","","","","","","","","","","",""
"PbzotYeSR1Bn2GO6DL0OW0DUmLR8WYrJtEHY13-a3xeD8pPQN_XHxEZ3szNaUFJ7","2021-03-06 07:55:04","","","","","","","","","","","","","","","","","","","","","","",""
"3qvHRhbC3SHnf-8i-kYmg5oK3G1i8pe64B1mqHoJNaVCLRyxkk4pz7Dj7TD6VM9l","2021-03-06 07:55:05","","","","","","","","","","","","","","","","","","","","","","",""
"CvLlCe7j4KTh04mQ9UAX497AYjeGbGsKWmSKqJwVwWfsBvggtFy4xicH74vnlYJ-","2021-03-06 07:55:07","","","","","","","","","","","","","","","","","","","","","","",""
"sPOYzxtz_w2nUk856RpvJMKySCZNDrtEPlQQwsaViU96iYmD3iu7GNGMma08EVq2","2021-03-06 07:55:08","","","","","","","","","","","","","","","","","","","","","","",""
"nxwW8E0j5uT-5Y8GpyJlCEBPlFIou8lrZiKBrkmNP-05OP_9FDhRBSZaAgewmkXj","2021-03-06 07:55:13","","","","","","","","","","","","","","","","","","","","","","",""
"jFIetBPpzNvZpiz-G0eK3inganj9qbVh61JrICtQ31zgXEjWc8vul59HopM1qZUs","2021-03-06 07:55:18","","","","","","","","","","","","","","","","","","","","","","",""
"Jm0KS3uTrV27PZXj71QXzizvELwwe6Bj7JNU-sQC7mATHAK301gOE504SSuZ5_1I","2021-03-06 07:55:18","","","","","","","","","","","","","","","","","","","","","","",""
"-pgm6Mv2PdxF5sutVAS_-QpBzFIyaU6Osg7F1g1sRu2rVdV4MQlOcCx3du-AHqzJ","2021-03-06 07:55:27","","","","","","","","","","","","","","","","","","","","","","",""
"f-tIRipcZ9d-7cObRpAOfIbSihkAdUGTwRF68ASaEuFZh3lOW3DxbpBXo_5gfmSR","2021-03-06 07:55:59","","","","","","","","","","","","","","","","","","","","","","",""
"jXia0yLXo9xTiawHXEJHJRC8V88-wl376Y0ccw9f2urx0aQRYNZYAwGH6sT-SpM8","2021-03-06 07:55:59","","","","","","","","","","","","","","","","","","","","","","",""
"zcKM4vpyabgrdEvWwEqXNufbQKRkwZAbF9Uc37dCm7LOdRLFLfVo6ipHapmS0N-F","2021-03-06 07:56:26","","","","","","","","","","","","","","","","","","","","","","",""
"yi_wxCtq8MFHjh7I2kSVNz9HzF2X-qfSbh-nhM346SoaNqHE_NVf_OEDhhx6VcXy","2021-03-06 07:56:28","","","","","","","","","","","","","","","","","","","","","","",""
"uB2glcuhCpyjCeMkU2elov2zf4sWlA2B_T02yu_Mmlnguu3qrMvoLWZUm8xMxJbs","2021-03-06 07:57:11","","","","","","","","","","","","","","","","","","","","","","",""
"y-y00zQS7TZ0YazqN5DfY2QD2lxTBh523kR9gf8mvZ7UU3eLY_OYY0h9QOh4yb6F","2021-03-06 07:57:18","","","","","","","","","","","","","","","","","","","","","","",""
"8msrimsNkWNMI6W7okCB0GobIl6ygqugPXMkgUy_y13jgXJ1d2ArwFkjcGPXb8i0","2021-03-06 07:57:18","","","","","","","","","","","","","","","","","","","","","","",""
"fLC-rc1qry2z3vthBnD5sVyPYJJQkT_1UXAu7pi2gqY47mlzxqJaJ7I9puop_H9i","2021-03-06 07:57:20","","","","","","","","","","","","","","","","","","","","","","",""
"3Sp6zHqzOer-nFap85vkGQuopvvxQukDvEGbN644nOesnooWU_d8qvbIyEQs0Bxf","2021-03-06 07:57:20","","","","","","","","","","","","","","","","","","","","","","",""
"Rhj4Y2VsklYXI52_x55D-NdLyvmQPn5_VEj3ZgoS8nPCUdIUMAfqnrBrbqc_sv04","2021-03-06 07:57:20","","","","","","","","","","","","","","","","","","","","","","",""
"PBUSR44WPi8VXN4wfG3n2sGkzRNjGEJ8gPVWBRyqKblDqz7f237viFMu64IFSBfw","2021-03-06 07:57:25","","","","","","","","","","","","","","","","","","","","","","",""
"YH0mIlZcW44UHA-I_pU9YqDUat9ARe2n0tOGz_sIfIqj6ENDthPIEv3fTEYQHRhA","2021-03-06 07:57:30","","","","","","","","","","","","","","","","","","","","","","",""
"gbXMmSnv0E0uGdzMTiXDV6zhDn9-vFEv7_T8RZQ--th0Xyx8I6moblynfTiq5n9J","2021-03-06 08:00:27","","","","","","","","","","","","","","","","","","","","","","",""
"94TDL9WhCBi9PEJzzMBKDJLmzmR4xpmbL-2dueSqiF2W5y5NI6Q7_gSuWfpdwVOB","2021-03-06 08:00:54","","","","","","","","","","","","","","","","","","","","","","",""
"XdTqwXEo_6ptKMFIhLha_XpT2-5FG1OCuH9nVxnIlN7zutctMkSPdxWrS_7QzkKw","2021-03-06 08:01:28","","","","","","","","","","","","","","","","","","","","","","",""
"Lcr4f4D4RxiLtbX1BB5UGB3Z4KCBSfWH_tCuOQO2eHXWOAM6ydirMY2hQds2Yw2C","2021-03-06 08:10:00","","","","","","","","","","","","","","","","","","","","","","",""
"yr4-s6gJGyoBNfOdTqgigYOrXKSwClOLSPs5Y8nHuQtTNjf11o3AdBpN4k142Jh7","2021-03-06 08:10:01","","","","","","","","","","","","","","","","","","","","","","",""
"uAjcnS296VlZW-qYr4bt678QKhVkm-H9tZieI1-ACwIdwWR1nZXcZJeqHUw_R-6r","2021-03-06 08:10:01","","","","","","","","","","","","","","","","","","","","","","",""
"5wCSeDXrOxanEI82TzJBtP-6GIwQ2-jIhp3j3mtjYThQU1s8CeKx7b3KB3UcAiDg","2021-03-06 08:10:02","","","","","","","","","","","","","","","","","","","","","","",""
"nhnwmteOZUZIin-ligqDHfC4-P5zkXxSnNKi-JMTPWV64NEKdlTFVqok4r-OAQeL","2021-03-06 08:10:04","","","","","","","","","","","","","","","","","","","","","","",""
"TvpwTwXZPj7uKz9zIjOxynZ6WU6GUzAZB_M7Kx_eHBu4J_ja4rFzZpjWDt1KLPns","2021-03-06 08:10:06","","","","","","","","","","","","","","","","","","","","","","",""
"yeJA0q-2ynWxiFWk62ppl2Wtr2S6InfZ0uTtjQGzNmykB61iIEAhoZZweLaVJnzR","2021-03-06 08:14:51","","","","","","","","","","","","","","","","","","","","","","",""
"D3AZ2uDDZvsQvQoRfsnISus4eoGnm-hTQm8ez71TrkarojRczwNAa5oxuOrNb3xD","2021-03-06 08:14:53","","","","","","","","","","","","","","","","","","","","","","",""
"sFBaPIo00x474VyHHSlmTL1UTsYX_MuVOptvslYPdduk29oStYJkd9G1No7rb7mC","2021-03-06 08:14:57","","","","","","","","","","","","","","","","","","","","","","",""
"l6Ysl5t6z75U0v3BfpJjidbVB9lGL6h1bXRAtWPWcZ1ph7ZFtLbSuDfxJ6bc7zmT","2021-03-06 08:22:32","","","","","","","","","","","","","","","","","","","","","","",""
"wZX0mCsX815VmatvfZclWVucj7SJ97GgSrP6jLxk5SZpiextLLTIBRuyLopy97hf","2021-03-06 08:38:08","","","","","","","","","","","","","","","","","","","","","","",""
"0L-GNwnr6WftdvdRdXIuGIwjdRXp_nZOIoAf-s_8-H5olvv6v7OAgfGJfuikmtST","2021-03-06 08:44:00","","","","","","","","","","","","","","","","","","","","","","",""
"IteerrSe530FpAwKx8KbBnETFH6JmsTq427Sj1ZW9obo9N6ezqavwGng7aRknX7e","2021-03-06 08:44:00","","","","","","","","","","","","","","","","","","","","","","",""
"iWEMfy6l21UPVg4ckoBi4UNjQS5-TqAlfmNJVeyw9Ao_Okl2iV3-_XI8oT8khCCC","2021-03-06 08:44:01","","","","","","","","","","","","","","","","","","","","","","",""
"deK2gsHigy6iyo27O7wgf5Bc2yc8_ztYOdoO-PXW_yWOQfStzAE0CWimOOvJMpPL","2021-03-06 09:07:45","","","","","","","","","","","","","","","","","","","","","","",""
"tgU8z6DoycuBCEpEoO8wsno48addFJrBvJsFBWLEbnZG6f-f5blBlbTWbGzTke9c","2021-03-06 09:18:28","","","","","","","","","","","","","","","","","","","","","","",""
"_tWYolo8WaHrczgPAcFHvkoNWwHHdSjdoA1-4yjvX3E_5Q2_Wf_rGB3JgdFdflrn","2021-03-06 09:26:11","","","","","","","","","","","","","","","","","","","","","","",""
"6f82c1-TsVeER5EPyhC_HxXNVrtKYLJTi09AhnSumY5Rs0BZIE5-xCiM8nmlf9ma","2021-03-06 11:08:30","","","","","","","","","","","","","","","","","","","","","","",""
"IcEfiIkuHpMOIU8ZaDA95N0ugyfquvk2fJQpWZNrV1v4MqPcCDi1dFj9NUCm_Eqo","2021-03-06 11:42:11","2021-03-06 11:43:52","","","Postdoctoral researcher","1","5","2, 3","4","","","","","","","","","","","","","","",""
"XZcXyyKmsno41vMd_LPWjo4s7f6lIdUueIeHO1m2nf7z_GkX5ujYnQE08huI_qzf","2021-03-06 13:08:09","","","","","","","","","","","","","","","","","","","","","","",""
"9RrMdV2HnwmNmejJFYzyx88HDDp9hEXfSr2jLAiwfu2KLjvvi8UKCyIRd9AP8t43","2021-03-06 13:32:35","2021-03-06 13:40:39","2021-03-06 13:40:39","","Postdoctoral researcher","1","1","1, 2","2","- data collection (automatic or manual)
- data classification (Excel tables)
- data annotation (metadata, softwares in corpus linguistics, tagging/tokenisation, etc.)
- data analysis","see examples here: https://www.ortolang.fr/market/corpora/uk-parl","right now we're experiencing big problems with twitter data (qualitatively), see: https://twitter.com/BerLinguistin/status/1367506503356329991","6, 7","6, 7","there is no ""other"" above :)
but: open source software TXM: http://textometrie.ens-lyon.fr/?lang=en","1, 4, 11, 12, 13, 14","1, 4, 11, 12, 13, 14","+ Ortolang: https://www.ortolang.fr/

(PS: university servers work through Next Cloud)","2, 3","2, 3","2, 3","","I didn't know of them but would love to learn more about them!","You can email me if you have any questions: naomi.truan@uni-leipzig.de. 

Ich bin auch Fellow Freies Wissen in diesem Jahrgang und freue mich, die Ergebnisse lesen zu dürfen! 
Naomi"
"QTStDCjwSl_6D2TDQUsJrHVFH099Pjn3c_KeDafBmjW8oZmE24wJ1Rig61XQ6zPL","2021-03-06 15:14:59","","","","","","","","","","","","","","","","","","","","","","",""
"8BBVCu6axLgnjQ-1e4Xi4V5E9P2eyWO4z7vOovKCgMrcUaRzpUKGzLY1ILBu1_vM","2021-03-06 15:46:39","","","","","","","","","","","","","","","","","","","","","","",""
"ZMcepnWvbBAz9iD8J-VOEIyM1_5jaSpyJYRbVHUM6TdeH5Xqmur9j__0V6VALpoB","2021-03-07 03:01:53","","","","","","","","","","","","","","","","","","","","","","",""
"jJJXiFXQQYQBWAevZEDd1OY3n1_Si__fEroK7WghPgIOPpBM7WHqj0krzmxYjwQ0","2021-03-07 03:01:53","","","","","","","","","","","","","","","","","","","","","","",""
"zqygM_3qv1psCEXtWNGH6wEdPuU4gaXV5UpAo7gPiyAXmbKSxu4pXd-ozuffMia1","2021-03-07 03:44:05","","","","","","","","","","","","","","","","","","","","","","",""
"s8TRyhuGXsfOipssTesodJ6CvHPTPm0bXCGSquLdca6fyHi6nKECPpDzCpUHRd4i","2021-03-07 03:44:06","","","","","","","","","","","","","","","","","","","","","","",""
"eP-SwJz5ZEouTOyEZDdAaUfVhKP74xH5Lok7S-LIvJGxpAvrw-fVgKbhIznJRbh6","2021-03-07 03:44:07","","","","","","","","","","","","","","","","","","","","","","",""
"koRFZ7t5Qx6WpTeldD9YDO16cw2HYtoM5ohxh5guoVKYHhjKvrP09EZ3e42XaQMW","2021-03-07 05:14:35","","","","","","","","","","","","","","","","","","","","","","",""
"SzwfMZXvJ1gAe38h7BzhkIfkiH3eb20EC-tVKkyEuSYH-xwJ8xnO5M0tQf2FQteH","2021-03-07 06:17:04","","","","","","","","","","","","","","","","","","","","","","",""
"D__fJgW0z_oKz_gjMEmmolYxr3kyg8SUYVWJcDb4EpbaN6rvtFnOy5wWc8vGqZfU","2021-03-07 06:17:07","","","","","","","","","","","","","","","","","","","","","","",""
"QSvyUc6EzTyrsIvk8FD3WS-2Kgy1z8EjlXDrGABs9Bc5HrS3PEhpDNf_TYOvzjw1","2021-03-07 06:17:07","","","","","","","","","","","","","","","","","","","","","","",""
"sjfXPL5fcsQv9-nhZy1Tz4PBHUAy5QAP_XD8ygR0HpvBcFN-7MJ-_9eibyolZA2U","2021-03-07 06:17:08","","","","","","","","","","","","","","","","","","","","","","",""
"s9iPH_8DwOQ3FZPofvzUqJd8e9CJtmGQoN-W__w9IroR8UsoCxRJb4gitwjOpMD4","2021-03-07 06:17:12","","","","","","","","","","","","","","","","","","","","","","",""
"D4jbuP9cHFkiWXr4tk1MZ4KOpj7jxfVa9GsFK2J1W2F5SY003KSRfoq02Uvk61pQ","2021-03-07 06:17:37","","","","","","","","","","","","","","","","","","","","","","",""
"sUFEx8wvFfUKZLMNAi8yr8DoTBlRVK8ulP58P84sHpf4QC6nLtTtxp-IkRvE-y7A","2021-03-07 06:17:58","","","","","","","","","","","","","","","","","","","","","","",""
"sRduZ1K4ViAJu8oxyVJHPtGUo8oBhb0B4FRnhXOaQB27DTuaN_ztFECaV_KT2NyP","2021-03-07 06:17:59","","","","","","","","","","","","","","","","","","","","","","",""
"30fXAF55-VyPpzx2M6HU1HMwXA6olMf5KFESBSVi-y8DVA0KUhXogosjcWac7EKH","2021-03-07 06:17:59","","","","","","","","","","","","","","","","","","","","","","",""
"bLn5yaATjEC499omYQb4fffiYAqaKrZsRFTy51pLD8ouaHWQuOConnxDs4NqtNzB","2021-03-07 06:18:05","","","","","","","","","","","","","","","","","","","","","","",""
"54HRMfynCaVnfKYXtGuuP40apeYcrP1DvP62yWd6oyQ-Bv9cOHSPvsKM_IC0Qf1Y","2021-03-07 06:18:32","","","","","","","","","","","","","","","","","","","","","","",""
"a8cVSuUTXeR2-hvC0eWFChXP5I3SZqRfE1K03SfjvigLG54q9rnFyHMdO-I32Fqt","2021-03-07 06:18:35","2021-03-07 19:01:49","","","","","","","","","","","","","","","","","","","","","",""
"BoEp1mRF0lPGd31k5CQ33g2klTkGCK9S7jgfQK-61BQmriLhAo-CuOJB2Ec7_RHX","2021-03-07 06:18:36","","","","","","","","","","","","","","","","","","","","","","",""
"P0QHYsO8YvUA-xbiEUSil1swJpXYkttu_Ze2uO20oGVL4Ce0t1H63m1HxSSkh0aM","2021-03-07 06:18:36","","","","","","","","","","","","","","","","","","","","","","",""
"BjEfCKYHPLgg9BIBRq6iKIPyjekLaDJTeqcPlAsnC1lQpCqitauOdPfX2TqAk6ja","2021-03-07 06:18:38","","","","","","","","","","","","","","","","","","","","","","",""
"qk58k-QSfEFEHSArv7kC1CmChIC69GtoPRzVG1xTuJzaoziBSUVQXTzI-Q8EB6so","2021-03-07 06:18:45","","","","","","","","","","","","","","","","","","","","","","",""
"Tlr-po1pmTXBgKdZvTwKnaD_47r1v_GZ1lAaHSjJc-P01obpbbnbaDWVNmAB60Q2","2021-03-07 06:21:18","","","","","","","","","","","","","","","","","","","","","","",""
"xjv5bljuHX-2Z_oc3SI1SO5zTk0RXHivdgtEGGt7Iem321ub9_TxqaAtZm6eWQH_","2021-03-07 06:21:20","","","","","","","","","","","","","","","","","","","","","","",""
"gqjyomTqZR4_op_e3pWY1MWiOL-oh7qRenb4J6RSo4Eaetme0gJ1pQHBDRPzcdJL","2021-03-07 06:21:23","","","","","","","","","","","","","","","","","","","","","","",""
"hysIMWfTTzjsjxgDovBZe7mOFiwYR6ar_R3dLk0uvxW3phOOlXmwJmXlqRkGOb-L","2021-03-07 06:21:23","","","","","","","","","","","","","","","","","","","","","","",""
"sGjB-qPqQgH4GcTpjYfmfRkEOYzV1FOsulHZ4KKGXVWsHCTCrNv-o0qJImU8vgn9","2021-03-07 06:21:24","","","","","","","","","","","","","","","","","","","","","","",""
"hjukF78yh5IiPGw1tk7iE3iOUoqrmpLgQvx9LE7Y9kx81ozE47lMZGkwtzrXgMK-","2021-03-07 06:22:01","","","","","","","","","","","","","","","","","","","","","","",""
"5IZeu_eSv2UqVrU-sdpXpZAIfKD7mu5W10QIj00qDs3DyrFJLcUI99mIWN1tf7G9","2021-03-07 06:22:02","","","","","","","","","","","","","","","","","","","","","","",""
"6le9IbY5cAvWTJAp2IZcKfpzsgapmNVr3oqUO7DwhaTnG3GxEonUcv_lcHhHnLb3","2021-03-07 06:22:02","","","","","","","","","","","","","","","","","","","","","","",""
"P3TBxf3AgZLjS7aV64qbP4bym6b7HzgK8vwriI6PjtBIyK0TPzMpia2Q0LFXiO0L","2021-03-07 06:22:03","","","","","","","","","","","","","","","","","","","","","","",""
"iF24rgqcJGYj5C5e49fryGZR-bm7-lpVAlq9fSN97zKUNQyVHOAna5bVE0ec6isb","2021-03-07 06:22:04","","","","","","","","","","","","","","","","","","","","","","",""
"TVvvrrZUkoDPHKA4uqDL7RTa4EC2rJ9M3sRIqKSXDDPOqEXcK0hclPVZ37ubCU6m","2021-03-07 06:22:06","","","","","","","","","","","","","","","","","","","","","","",""
"mJsaecbJrjHUBTU4ckEe62Vwm-n5uIN4zKoMiH5SohlxfbkGOqUOOPKYVSHwzzym","2021-03-07 06:22:07","","","","","","","","","","","","","","","","","","","","","","",""
"w7vLFyTN7wynEchV3tYq8wgGDt9cHLoAFWvJ9Inq2-WLCL6t3e95m83POpFHdb_Y","2021-03-07 06:22:08","","","","","","","","","","","","","","","","","","","","","","",""
"OiAurKFVPcumnpOUbaesgp4268Fq3QZPZqEBnnHAkgQyTXYeL3MhKEpwNA_mALTu","2021-03-07 06:22:43","","","","","","","","","","","","","","","","","","","","","","",""
